,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
1026,1a2a3,,\1.n.n,,BACKOFF,[STEM-PV],1u2~,lex:\1an~,,\1un~,,,\1un~/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#n gem intrans,^([^wyA}&])n$,1,
1027,1A2a3,,\1.w.n,,BACKOFF,[STEM-PV],1uw2i3,lex:\1Awan,,\1uwwin,,,\1uwwin/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])wwn$,1,
1028,1a2a3,,\1.y.y,,BACKOFF,[STEM-PV],1u2iy,lex:\1ayiy-a,,\1uyiy,,,\1uyiy/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])yy$,1,
1029,1a2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1u3,lex:\1A\2-i,,\1u\2,,,\1u\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,intrans,^([^wyA}&])([^ntwyA}&])$,1,
1030,1a2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1iy3,lex:\1A\2-i,,\1iy\2,,,\1iy\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,intrans,^([^wyA}&])y([^ntwyA}&])$,1,
1031,1a2a3,,\1.\2.y,,BACKOFF,[STEM-PV],1u2,lex:\1a\2A-u,,\1u\2,,,\1u\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])([^wyA}&])$,1,
1032,1a2a3,,\1.y.>,,BACKOFF,[STEM-PV],1,lex:\1A'-i,,\1,,,\1/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,#-iy' intrans,^([^wyA}&])$,1,
1033,1a2a3,,\1.y.>,,BACKOFF,[STEM-PV],1i},lex:\1A'-i,,\1i},,,\1i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,intrans,^([^wyA}&])}$,1,
1034,1a2~a3,,\1.y.>,,BACKOFF,[STEM-PV],1u2~i},lex:\1ay~a>,,\1uy~i},,,\1uy~i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])y}$,1,
1035,1a2a3,,\1.\2.>,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2u&-a,,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
