,#PATTERN_ABS,#PATTERN_DEF,#PATTERN_UNIQ,#PATTERN,#ROOT,#LEMMA_AR,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,,STATUS
81,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3~,d.h.m,ٱِدْهَمّ#1,LEXICON,[STEM-IV],{idoham~_1,doham~,IV,become_black,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
82,{i1o2a3~,{i1o2a3~,{i1o2a3~,1o2a3im,d.h.m,ٱِدْهَمّ#1,LEXICON,[STEM-IV],{idoham~_1,dohamim,IV,become_black,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
83,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3i4~,d.l.h.m,ٱِدْلَهَمّ#1,LEXICON,[STEM-IV],{idolaham~_1,dolahim~,IV,be_dark;be_gloomy;be_pitch-black,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem intrans,,QC-DONE
84,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3o4im,d.l.h.m,ٱِدْلَهَمّ#1,LEXICON,[STEM-IV],{idolaham~_1,dolahomim,IV,be_dark;be_gloomy;be_pitch-black,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem intrans,,QC-DONE
85,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3i4~,D.m.H.l,ٱِضْمَحَلّ#1,LEXICON,[STEM-IV],{iDomaHal~_1,DomaHil~,IV,disappear;vanish,pos:verb asp:i vox:a gen:_ num:_,v-suff,,a-# gem trans,,QC-DONE
86,{i1o2a3a4~,{i1o2a3a4~,{i1o2a3a4~,1o2a3o4il,D.m.H.l,ٱِضْمَحَلّ#1,LEXICON,[STEM-IV],{iDomaHal~_1,DomaHolil,IV,disappear;vanish,pos:verb asp:i vox:a gen:_ num:_,c-suff,,a-# gem trans,,QC-DONE
87,{i1ota2a3,{i1ota2a3,{i1ota2a3,1oTa2i3,D.b.n,ٱِضْطَبَن#1,LEXICON,[STEM-IV],{iDoTaban_1,DoTabin,IV,carry_under_arm,pos:verb asp:i vox:a gen:_ num:_,,,a-# #n trans,,QC-DONE
88,{i1ota2a3,{i1ota2a3,{i1ota2a3,1oTa2i3,D.h.d,ٱِضْطَهَد#1,LEXICON,[STEM-IV],{iDoTahad_1,DoTahid,IV,oppress;brutalize;persecute,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
89,{i1ota2a3,{i1ota2a3,{i1ota2a3,1oTa2i3,D.j.E,ٱِضْطَجَع#1,LEXICON,[STEM-IV],{iDoTajaE_1,DoTajiE,IV,lie_down;sleep,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
90,{i1ota2a3,{i1ota2a3,{i1ota2a3,1oTa2i3,D.l.E,ٱِضْطَلَع#1,LEXICON,[STEM-IV],{iDoTalaE_1,DoTaliE,IV,take_on;assume;undertake;be_familiar_with,pos:verb asp:i vox:a gen:_ num:_,,,a-# trans,,QC-DONE
