,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
111,>a1aAo3,>a1a@o3,c-suff + #n hollow,3,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + #n hollow,>uzir,1,,DONE
112,>a1aAo3,>a1a@o3,v-suff + #n hollow,5,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + #n hollow,>uziyr,1,,DONE
113,>a1aAo3,>a1a@o3,c-suff + #t hollow,5,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + #t hollow,>uzir,1,,DONE
114,>a1aAo3,>a1a@o3,v-suff + #t hollow,3,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + #t hollow,>uziyr,1,,DONE
115,>a1o>a3,>a1o>a3,,7,>alo>ak,>alo>ak,(.).(.).(.).(.),$1u$2o$3i$4,,>ulo>ik,0,,DONE
116,>a1o>aY,>a1o>a#,#->ay,1,>ano>aY,>ano>,(.).(.).(.),$1u$2o,#-'iy,>uno,1,Added new cond: #-'iy,DONE
117,>a1o>aY,>a1o>a#,#-ay,1,>ano>aY,>ano>,(.).(.).(.),>u$2o,#-'iy,>uno,1,Added new cond: #-'iy,DONE
118,>a1o2a>,>a1o2a>,#-a>,19,>ahoda>,>ahod,(.).(.).(.),$1u$2o$3i},,>uhodi},0,,DONE
119,>a1o2a3,>a1o2a3,#n,29,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,#n,>uhoriE,1,,DONE
120,>a1o2a3,>a1o2a3,#t,14,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,#t,>uhoriE,1,,DONE
121,>a1o2a3,>a1o2a3,,477,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,,>uhoriE,1,,DONE
122,>a1o2aY,>a1o2a#,#-ay,105,>aDonaY,>aDon,(.).(.).(.),>u$2o$3,#-iy,>uDon,0,,DONE
123,>a1owa3,>a1owa3,,6,>aEowaz,>aEowaz,(.).(.).(.).(.),$1u$2o$3i$4,,>uEowiz,1,,DONE
124,>a1owaY,>a1owa#,#-ay,8,>aqowaY,>aqow,(.).(.).(.),>u$2o$3,#-iy,>uqow,0,,DONE
125,>a1oya3,>a1oya3,,1,>aEoyal,>aEoyal,(.).(.).(.).(.),$1u$2o$3i$4,,>uEoyil,1,,DONE
126,>a1oyaY,>a1oya#,#-ay,2,>aEoyaY,>aEoy,(.).(.).(.),>u$2o$3,#-iy,>uEoy,0,,DONE
127,>a2~,>a2~,c-suff + hollow,7,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + hollow,>uziz,1,This is not hollow,DONE
128,>a2~,>a2~,v-suff + hollow,7,>az~,>az~,(.).(.)~,$1u$2~,v-suff + hollow,>uz~,1,This is not hollow,DONE
129,>a2~,>a2~,c-suff + #n gem,1,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + #n gem,>uziz,1,This is not hollow,DONE
130,>a2~,>a2~,v-suff + #n gem,1,>az~,>az~,(.).(.)~,$1u$2~,v-suff + #n gem,>uz~,1,This is not hollow,DONE
131,>a2~,>a2~,c-suff + gem,1,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + gem,>uziz,1,This is not hollow,DONE
132,>a2~,>a2~,v-suff + gem,1,>az~,>az~,(.).(.)~,$1u$2~,v-suff + gem,>uz~,1,This is not hollow,DONE
133,>a2~a3,>a2~a3,#n,3,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,#n,>uh~il,0,,DONE
134,>a2~a3,>a2~a3,#t,1,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,#t,>uh~il,0,,DONE
135,>a2~a3,>a2~a3,,44,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,,>uh~il,0,,DONE
136,>a2~aY,>a2~a#,#-ay,3,>as~aY,>as~,(.).(.)~,$1u$2~,#-iy,>us~,1,,DONE
137,>A2a3,>@2a3,#n,2,>Anas,|nas,.(.).(.),>uw$1i$2,#n,>uwnis,0,,DONE
138,>A2a3,>@2a3,,16,>Anas,|nas,.(.).(.),>uw$1i$2,,>uwnis,0,,DONE
139,>a2a3,>a2a3,,32,>ahal,>ahal,(.).(.).(.),$1u$2i$3,,>uhil,0,,DONE
140,>a2aA,>a2a@,#-aw,2,>asA,>as,(.).(.),$1u$2,#-iy,>us,1,C5,DONE
141,>A2aY,>@2a#,#-ay,8,>AzaY,|z,.(.),>uw$1,#-iy,>uwz,0,,DONE
142,>a2aY,>a2a#,#-ay,3,>anaY,>an,(.).(.),$1u$2,#-iy,>un,0,,DONE
143,>a2i3,>a2i3,#n,4,>ahil,>ahil,(.).(.).(.),$1u$2i$3,#n,>uhil,1,,DONE
144,>a2i3,>a2i3,,13,>ahil,>ahil,(.).(.).(.),$1u$2i$3,,>uhil,1,,DONE
145,>a2iy,>a2iy,#-iy,2,>a*iy,>a*,(.).(.),$1u$2iy,#-iy,>u*iy,0,,DONE
146,>a2u3,>a2u3,#n,1,>anuv,>anuv,(.).(.).(.),$1u$2i$3,#n,>univ,1,,DONE
