,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
49,50,E.z.z,>a1a2~,>a1o2a3,LEXICON,[STEM-NOM],>aEaz~,>aEaz~,MS||MD,#dip,dearer/dearest;stronger/strongest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
50,51,E.*.b,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEo*ab,>aEo*ab,MS||MD,#dip,more/most_pleasant;sweeter/sweetest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
51,52,E.d.l,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEodal,>aEodal,MS||MD,#dip,fairer/fairest;more/most_equitable,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
52,53,E.j.b,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEojab,>aEojab,MS||MD,#dip,more/most_wonderful,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
53,54,E.j.l,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEojal,>aEojal,MS||MD,#dip,faster/fastest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD]-[MS||MD||FP] [-]-[f] [-]-[-] stem:0-1,OK~,,,>a1o2a3#dipMS||MD--,OK
54,55,E.j.l,1u2o3,1u2o3aY,LEXICON,[STEM-NOM],>aEojal,Eujol,MS||MD||FP,#dip #aY-Ap-y,faster/fastest,pos:adj_comp gen:f num:- rat:n cas:u,DONE,[MS||MD]-[MS||MD||FP] [-]-[f] [-]-[-] stem:0-1,OK~,,,1u2o3aY#dip #aY-Ap-yMS||MD||FPf-,OK
55,56,E.l.m,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEolam,>aEolam,MS||MD,#dip,more/most_knowledgeable,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
56,57,E.l.y,>a1aA2,>a1A2i3,LEXICON,[STEM-NOM],>aEolaY,>aEaAl,MS,#dip #iy,higher;highest,pos:adj_comp gen:m num:p rat:n cas:u,DONE,[MS||MD]-[MS]-[MS||MD||FP] [-]-[m]-[f] [-]-[p]-[-] stem:0-1-2,OK,,,>a1A2i3#dip #iyMSmp,OK
57,58,E.l.y,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>aEolaY,>aEol,MS||MD,#dip #aY-Ap-y,higher;highest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD]-[MS]-[MS||MD||FP] [-]-[m]-[f] [-]-[p]-[-] stem:0-1-2,OK,,,>a1o2a3#dip #aY-Ap-yMS||MD--,OK
58,59,E.l.y,1u2o3,1u2o3aY,LEXICON,[STEM-NOM],>aEolaY,Euloy,MS||MD||FP,#dip #aA-Ap-y,higher;highest,pos:adj_comp gen:f num:- rat:n cas:u,DONE,[MS||MD]-[MS]-[MS||MD||FP] [-]-[m]-[f] [-]-[p]-[-] stem:0-1-2,OK,,,1u2o3aY#dip #aA-Ap-yMS||MD||FPf-,OK
59,60,E.m.q,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEomaq,>aEomaq,MS||MD,#dip,deeper;deepest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
60,61,E.n.f,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEonaf,>aEonaf,MS||MD,#dip,harsher/harshest;more/most_violent,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
61,62,E.q.d,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEoqad,>aEoqad,MS||MD,#dip,more/most_complicated/difficult,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
62,63,E.q.l,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEoqal,>aEoqal,MS||MD,#dip,more_reasonable,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
63,64,E.r.f,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEoraf,>aEoraf,MS||MD,#dip,better/best_acquainted;more/most_aware,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
64,65,E.r.q,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aEoraq,>aEoraq,MS||MD,#dip,more/most_deep-rooted,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
