,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
117,>a1o2a3,,,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,,,>uhoriE,1,,DONE
118,>a1o2aY,,#-ay,>aDonaY,>aDon,(.).(.).(.),>u$2o$3,,#-iy,>uDon,0,,DONE
119,>a1owa3,,,>aEowaz,>aEowaz,(.).(.).(.).(.),$1u$2o$3i$4,,,>uEowiz,1,,DONE
120,>a1owaY,,#-ay,>aqowaY,>aqow,(.).(.).(.),>u$2o$3,,#-iy,>uqow,0,,DONE
121,>a1oya3,,,>aEoyal,>aEoyal,(.).(.).(.).(.),$1u$2o$3i$4,,,>uEoyil,1,,DONE
122,>a1oyaY,,#-ay,>aEoyaY,>aEoy,(.).(.).(.),>u$2o$3,,#-iy,>uEoy,0,,DONE
123,>a2~,c-suff,,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff,hollow,>uziz,1,,DONE
124,>a2~,v-suff,,>az~,>az~,(.).(.)~,$1u$2~,v-suff,hollow,>uz~,1,,DONE
125,>a2~,c-suff,#n gem,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff,#n gem,>uziz,1,,DONE
126,>a2~,v-suff,#n gem,>az~,>az~,(.).(.)~,$1u$2~,v-suff,#n gem,>uz~,1,,DONE
127,>a2~,c-suff,gem,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff,gem,>uziz,1,,DONE
128,>a2~,v-suff,gem,>az~,>az~,(.).(.)~,$1u$2~,v-suff,gem,>uz~,1,,DONE
129,>a2~a3,,#n,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,,#n,>uh~il,0,,DONE
130,>a2~a3,,#t,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,,#t,>uh~il,0,,DONE
131,>a2~a3,,,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,,,>uh~il,0,,DONE
132,>a2~aY,,#-ay,>as~aY,>as~,(.).(.)~,$1u$2~,,#-iy,>us~,1,,DONE
133,>aA2a3,,#n,>aAnas,|nas,.(.).(.),>uw$1i$2,,#n,>uwnis,0,,DONE
134,>aA2a3,,,>aAnas,|nas,.(.).(.),>uw$1i$2,,,>uwnis,0,,DONE
135,>a2a3,,,>ahal,>ahal,(.).(.).(.),$1u$2i$3,,,>uhil,1,,DONE
136,>a2aA,,#-aw,>asaA,>as,(.).(.),$1u$2,,#-iy,>us,0,,DONE
137,>aA2aY,,#-ay,>aAzaY,|z,.(.),>uw$1,,#-iy,>uwz,1,,DONE
138,>a2aY,,#-ay,>anaY,>an,(.).(.),$1u$2,,#-iy,>un,0,,DONE
