,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
115,2536,None,LEXICON,[STEM-IV],Aintaqam,ntiqi#m,IV,"[KEV] to get revenge on, avenge oneself",pos:verb asp:i vox:a mod:i,,,intrans yi#,1,well-formedness:OK
116,119,None,LEXICON,[STEM-IV],sabaq-a,sbaq,IV,[MEERA] to go ahead of someone,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
117,120,None,LEXICON,[STEM-IV],lamaE,lmaE,IV,"[KEV] to shine, glisten, gleam",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
118,121,None,LEXICON,[STEM-IV],garab,grib,IV,"[KEV] to set (sun, moon)",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
119,122,None,LEXICON,[STEM-IV],ba*ax,b*ax,IV,[KEV] to spend (money) lavishly,pos:verb asp:i vox:a mod:i,,,intrans yi#,3,well-formedness:OK
120,123,None,LEXICON,[STEM-IV],xalaf,xlif,IV,"[KEV] to succeed, be the successor",pos:verb asp:i vox:a mod:i,,,intrans yi#,1,well-formedness:OK
121,124,None,LEXICON,[STEM-IV],Saraf,Srif,IV,"[KEV] to spend, expend+to cash+to dismiss, send away",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
122,125,None,LEXICON,[STEM-IV],xaTab,xTib,IV,"[KEV] to make a speech, give a public address+to propose to, ask for a girl's hand in marriage",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
123,126,None,LEXICON,[STEM-IV],jaraE,jraE,IV,"[KEV] to dare, venture, have the courage",pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
124,127,None,LEXICON,[STEM-IV],EaTaY,ET,IV,[MEERA] to give,pos:verb asp:i vox:a mod:i,,,trans ya#  #-iy,0,well-formedness:OK
125,128,None,LEXICON,[STEM-IV],EaTas,ETis,IV,[KEV] to sneeze,pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
126,678,None,LEXICON,[STEM-IV],Dam~-u,Dum~,IV,"[KEV] to take s.th. away+to save, put away for safekeeping+to embrace",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
127,130,None,LEXICON,[STEM-IV],jan~,jin~,IV,[KEV] to be or become insane+to be or become insane,pos:verb asp:i vox:a mod:i,,,intrans y#,4,well-formedness:OK
128,131,None,LEXICON,[STEM-IV],$ahad,$had,IV,"[KEV] to testify, bear witness, give testimony+to sign as a witness",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
129,67,None,LEXICON,[STEM-IV],daq~-u,duq~,IV,"[KEV] to ring+to beat (e.g., the drums) [MEERA] to knock",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
130,133,None,LEXICON,[STEM-IV],naqaS,nqiS,IV,"[KEV] to decrease, diminish, become less+to be lacking in s.th., to be missing, needing s.th.+to be lacking, insufficient, deficient",pos:verb asp:i vox:a mod:i,,,intrans yi#,5,well-formedness:OK
131,134,None,LEXICON,[STEM-IV],xAn,xuwn,IV,"[KEV] to betray+to cheat, deceive",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
132,135,None,LEXICON,[STEM-IV],tal~,til~,IV,[KEV] to pull,pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
133,136,None,LEXICON,[STEM-IV],$adaY,$d,IV,[KEV] to sing,pos:verb asp:i vox:a mod:i,,,trans yi# #-iy,0,well-formedness:OK
134,137,None,LEXICON,[STEM-IV],lazam,lzam,IV,"[KEV] to get hold of, catch, grab+to be required, requisite, necessary+to befall, set upon, descend upon+to keep in one place, hold, maintain",pos:verb asp:i vox:a mod:i,,,intrans yi#,4,well-formedness:OK
135,138,None,LEXICON,[STEM-IV],faham,fham,IV,[KEV] to understand,pos:verb asp:i vox:a mod:i,,,trans yi#,0,well-formedness:OK
136,139,None,LEXICON,[STEM-IV],vAr,vuwr,IV,"[KEV] to revolt, rebel+to erupt, explode",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
137,140,None,LEXICON,[STEM-IV],bar~,bir~,IV,"[KEV] to keep (a promise), fulfill",pos:verb asp:i vox:a mod:i,,,trans y#,0,well-formedness:OK
